Ingredient,Substitute 1,Substitute 2,Calories,Protein (g),Fat (g),Carbs (g),Sugar (g),Sodium (mg),Cholesterol (mg)
"SOUP,PEPPERPOT,CND,COND","SOUP,SCOTCH BROTH,CND,COND","SOUP,STOCKPOT,CND,COND",84.0,5.19,3.78,7.66,12.175499856774563,778.0,8.0
"SOUP,CRM OF POTATO,CND,COND","SOUP,CRM OF MUSHROOM,CND,COND,RED NA","CAMPBELL SOUP COMPANY,RED&WHITE,98% FAT FR BRCCLI CHS,COND",59.0,1.39,1.88,9.14,1.69,484.0,5.0
"CAMPBELL'S RED & WHITE,CHICK ALPHABET SOUP,COND","CAMPBELL'S RED & WHITE,CHICK & STARS SOUP,COND","CAMPBELL'S RED & WHITE,BATMAN FUN SHAPES SOUP,COND",56.0,2.38,1.19,9.52,0.79,381.0,4.0
"SOUP,SCOTCH BROTH,CND,COND","SOUP,STOCKPOT,CND,COND","SOUP,LENTIL W/HAM,CND,RTS",66.0,4.05,2.14,7.73,12.175499856774563,716.0,4.0
"SOUP,CRM OF SHRIMP,CND,COND","SOUP,CRM OF ASPARAGUS,CND,PREP W/ EQ VOLUME MILK","SOUP,CRM OF CHICK,CND,PREP W/ EQ VOLUME MILK",72.0,2.22,4.14,6.53,12.175499856774563,685.0,13.0
"CAMPBELL SOUP COMPANY,CAMPBELL'S RED&WHITE,CHICK BROTH,COND","CAMPBELL,CAMPBELL'S RED & WHITE,BEEFY MUSHROOM SOUP,COND","SOUP,CHUNKY CHICK NOODLE,CND,RTS",16.0,0.81,0.81,0.81,0.81,621.0,4.0
"CAMPBELL SOUP,CAMPBELL'S RED & WHITE,CHICK GUMBO SOUP,COND","SOUP,CHICK GUMBO,CND,COND","CAMPBELL'S RED&WHITE,98% FAT FREE CRM OF BROCCOLI SOUP,COND",48.0,1.59,0.79,7.94,1.59,690.0,4.0
"SOUP,STOCKPOT,CND,COND","SOUP,SCOTCH BROTH,CND,COND","SOUP,PEPPERPOT,CND,COND",78.0,3.79,3.04,8.95,12.175499856774563,816.0,3.0
"SOUP,TOMATO BF W/ NOODLE,CND,COND","SOUP,TOMATO BISQUE,CND,COND","YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ",112.0,3.55,3.42,16.87,12.175499856774563,731.0,3.0
"CAMPBELL'S RED & WHITE,CHICK NOODLE SOUP,COND","SOUP,CHICK NOODLE,CND,COND","CAMPBELL SOUP COMPANY,RED&WHITE,25% LESS NA CHIC NOODL,COND",48.0,2.38,1.59,6.35,0.79,706.0,12.0
"SOUP,TOMATO RICE,CND,COND","SALAD DRSNG,KRAFT MAYO FAT FREE MAYO DRSNG","SOUP,CHILI BF,CND,COND",93.0,1.64,2.12,17.08,5.9,635.0,1.0
"SOUP,TURKEY,CHUNKY,CND,RTS","SOUP,CHICK VEG,CHUNKY,CND,RTS","SOUP,BF MUSHROOM,CND,COND",57.0,4.33,1.87,5.96,12.175499856774563,391.0,4.0
"SOUP,TURKEY NOODLE,CND,COND","CAMPBELL COMPANY,CAMPBELL'S RED & WHITE,BF NOODLE SOUP,COND","SOUP,CHICK NOODLE,CND,COND",55.0,3.11,1.59,6.88,0.41,650.0,4.0
"SOUP,TURKEY VEG,CND,COND","SOUP,CHICK VEG,CND,COND","CAMPBELL,CAMPBELL'S RED&WHITE,CHICK & DUMPLINGS SOUP,COND",60.0,2.52,2.47,7.05,1.09,739.0,1.0
"SOUP,CHUNKY VEG,CND,RTS","SOUP,MINESTRONE,CND,RED NA,RTS","SAUCE,SALSA,RTS",51.0,1.46,1.54,7.92,1.83,359.0,76.69220283533261
"SOUP,VEGETARIAN VEG,CND,COND","USDA COMMODITY,SPAGHETTI SAU,MEATLESS,CND","SOUP,ONION,CND,COND",59.0,1.72,1.58,9.78,3.13,672.0,76.69220283533261
"SOUP,CHUNKY BF,CND,RTS","SOUP,CLAM CHOWDER,NEW ENGLAND,CND,COND","SPLIT PEA W/ HAM SOUP,CND,RED NA,PREP W/ H2O OR RTS",66.0,3.97,1.11,10.08,0.67,338.0,6.0
"SOUP,VEG BF,CND,COND","SOUP,TURKEY NOODLE,CND,COND","SOUP,MINESTRONE,CND,COND",63.0,4.45,1.51,8.11,0.89,706.0,4.0
"SOUP,VEG W/ BF BROTH,CND,COND","SOUP,MINESTRONE,CND,COND","CAMPBELL'S RED & WHITE,CHICK NOODLEO'S SOUP,COND",66.0,2.42,1.56,10.7,1.64,515.0,1.0
"SOUP,BF BROTH OR BOUILLON,PDR,DRY","SOUP,BEEF BROTH,CUBED,DRY","SOUP,CHICK BROTH OR BOUILLON,DRY",213.0,15.97,8.89,17.4,16.71,26000.0,10.0
"SOUP,BEEF BROTH,CUBED,DRY","SOUP,CHICK BROTH CUBES,DRY","SOUP,CHICK BROTH OR BOUILLON,DRY",170.0,17.3,4.0,16.1,14.51,24000.0,4.0
"SOUP,BF NOODLE,DRY,MIX","SOUP,TOMATO VEG,DRY,MIX","SOUP,ONION,DRY,MIX",324.0,17.93,6.39,48.64,5.1,8408.0,13.0
"SOUP,CHICK BROTH OR BOUILLON,DRY","SOUP,BEEF BROTH,CUBED,DRY","SOUP,CHICK BROTH CUBES,DRY",267.0,16.66,13.88,18.01,17.36,23875.0,13.0
"SOUP,CHICK BROTH CUBES,DRY","SOUP,BEEF BROTH,CUBED,DRY","SOUP,CHICK BROTH OR BOUILLON,DRY",198.0,14.6,4.7,23.5,12.175499856774563,24000.0,13.0
"CAMPBELL'S RED & WHITE,CHICK NOODLEO'S SOUP,COND","SOUP,VEG W/ BF BROTH,CND,COND","SPLIT PEA W/ HAM SOUP,CND,RED NA,PREP W/ H2O OR RTS",71.0,2.38,1.98,11.9,1.59,381.0,16.0
"CAMPBELL COMPANY,CAMPBELL'S RED & WHITE,CHICK VEG SOUP,COND","SOUP,VEG W/ BF BROTH,CND,COND","CAMPBELL,CAMPBELL'S RED & WHITE,BF W/ VEG & BARLEY SOUP,COND",63.0,2.38,0.79,11.9,2.38,706.0,4.0
"CAMPBELL SOUP COMPANY,CAMPBELL'S RED & WHITE,BF BROTH,COND","CAMPBELL SOUP COMPANY,CAMPBELLS RED & WHITE,BF CONSOMME,COND","SOUP,CHICK OR BEEF BROTH,CND,LESS/REDUCED NA",12.0,2.42,10.740682790148947,0.81,0.81,694.0,76.69220283533261
"SOUP,ONION,DRY,MIX","GRAVY,MUSHROOM,DRY,PDR","SOUP,TOMATO VEG,DRY,MIX",293.0,7.48,0.34,65.07,4.65,8031.0,76.69220283533261
"CAMPBELL SOUP COMPANY,CAMPBELLS RED & WHITE,BF CONSOMME,COND","CAMPBELL SOUP COMPANY,CAMPBELL'S RED & WHITE,BF BROTH,COND","SOUP,CHICK OR BEEF BROTH,CND,LESS/REDUCED NA",16.0,3.23,10.740682790148947,0.81,0.81,653.0,76.69220283533261
"SOUP,TOMATO VEG,DRY,MIX","GRAVY,MUSHROOM,DRY,PDR","SOUP,ONION,DRY,MIX",325.0,11.73,5.09,59.9,3.77,6722.0,3.0
"SOUP,CRM OF VEG,DRY,PDR","GRAVY,BROWN,DRY","GRAVY,CHICKEN,DRY",446.0,8.0,24.1,52.1,17.51,4957.0,2.0
"SAUCE,CHS,DRY,PDR","CHEESE SUB,MOZZARELLA","SOUP,CRM OF VEG,DRY,PDR",448.0,22.69,25.44,33.66,25.13,3712.0,51.0
"CAMPBELL'S RED & WHITE,BATMAN FUN SHAPES SOUP,COND","CAMPBELL'S RED & WHITE,CHICK & STARS SOUP,COND","CAMPBELL,CAMPBELL'S RED&WHITE,CHICK & DUMPLINGS SOUP,COND",56.0,2.38,1.59,7.94,0.79,460.0,4.0
"SAUCE,TERIYAKI,RTS","SAUCE,OYSTER,RTS","SAUCE,TERIYAKI,RTS,RED NA",89.0,5.93,0.02,15.56,14.1,3833.0,76.69220283533261
"GRAVY,AU JUS,CANNED","SOUP,CHICK BROTH,CND,RTS","SOUP,BF BROTH OR BOUILLON CND,RTS",16.0,1.2,0.2,2.5,12.175499856774563,50.0,76.69220283533261
"GRAVY,AU JUS,DRY","SOUP,BF NOODLE,DRY,MIX","CAMPBELL SOUP CO,PACE,DRY TACO SEAS MIX",313.0,9.2,9.63,47.49,12.175499856774563,11588.0,4.0
"GRAVY,BF,CND,RTS","GRAVY,TURKEY,CND,RTS","SOUP,CHICK W/ RICE,CND,COND",53.0,3.75,2.36,4.81,0.21,560.0,3.0
"CAMPBELL SOUP,CAMPBELL'S RED & WHITE,BEAN W/ BACON SOUP,COND","SOUP,BEAN W/ PORK,CND,COND","SOUP,CHILI BF,CND,COND",125.0,6.25,2.34,19.53,3.13,672.0,4.0
"GRAVY,BROWN,DRY","GRAVY,CHICKEN,DRY","GRAVY,TURKEY,DRY",367.0,10.74,9.61,59.38,12.175499856774563,4843.0,3.0
